,publisher,scores,total,avg_score
120,Zerodiv,[7.3],1,7.3
121,AOL (America Online),"[4.0, 4.0, 5.0, 4.0]",4,4.25
122,Aspyr,"[8.3, 8.2, 8.5, 8.5, 9.5, 8.7, 9.4, 7.5, 7.8, 8.0, 9.3, 8.8, 3.5, 8.9, 7.5, 7.4, 7.8, 7.5, 7.8, 7.3, 9.0, 8.5, 9.4, 9.4, 9.4, 7.5, 7.5, 9.3, 8.4, 9.3, 8.0, 9.0, 9.4, 8.4, 9.4, 9.0, 9.0, 9.0, 9.0, 9.3, 9.0, 6.0, 5.8, 8.2, 7.7, 7.7, 7.7, 6.7, 6.8, 5.5, 9.4, 9.4, 9.3, 8.9, 7.5, 4.2, 5.5, 5.5, 5.5, 8.4, 3.4, 3.4, 7.9, 6.1, 8.5, 8.5, 8.5, 6.2, 5.5, 6.8, 7.0, 9.3, 8.6, 3.5, 3.5, 4.9, 8.0, 8.5, 8.9, 8.9, 7.0, 7.0, 7.0, 7.6, 7.0, 7.6, 7.6, 7.6, 7.6, 7.6, 7.0, 8.7, 5.4, 8.0, 8.6, 8.0, 8.5, 7.9, 8.8, 7.9, 7.9, 7.9, 7.9, 8.8, 7.9, 7.9, 8.8, 7.9, 7.9, 8.0, 6.4, 6.4, 2.0, 9.0, 6.6, 6.1, 7.2, 6.0, 9.9, 8.6, 8.2, 8.1, 8.5, 8.0, 8.9, 8.0, 8.9, 8.9, 8.0, 5.8, 8.0, 7.8, 8.0, 8.0, 8.7, 8.7, 8.9, 8.7, 8.0, 8.0, 2.4, 2.4, 9.3, 9.3, 8.2, 8.4, 6.8, 7.8, 8.0, 8.3, 8.7, 8.6, 7.2, 8.9, 9.3, 6.9, 7.0, 7.0, 7.0, 7.8, 7.8, 5.7, 7.8, 5.7, 7.8, 5.7, 7.8, 3.0, 9.0, 8.4, 8.5, 8.5, 8.5, 8.2, 8.1, 7.8, 8.6, 9.0, 8.5, 8.2, 8.7, 9.1, 9.4, 9.4, 8.1, 9.2, 8.0, 7.5, 8.4, 8.2, 6.8, 7.0, 7.2, 6.8, 8.9, 8.4, 7.5, 8.5, 9.0, 8.8, 7.2, 9.0, 8.0, 8.8, 8.8, 9.5, 9.0, 8.2, 7.6, 7.3, 7.5, 8.1, 7.5, 9.0, 4.5, 8.9, 4.5, 6.5, 8.7, 8.7, 8.7, 2.1, 2.2, 8.5, 8.0, 9.5, 8.5, 8.2, 7.5, 8.5, 8.5, 8.0, 7.9, 8.2, 7.8, 6.5, 6.0, 7.7, 5.1, 6.4, 7.7, 7.4, 7.2, 9.4, 8.9, 8.5, 7.3, 9.5, 8.4, 7.3, 8.5, 8.0, 7.8, 7.8, 7.8, 9.0, 8.9, 8.9, 8.5, 9.0, 9.0, 9.0, 9.0, 5.3, 6.5, 5.8, 6.3, 8.0, 8.0, 7.7, 5.3, 7.0, 3.0, 8.5, 8.5, 8.5, 8.5, 8.3, 8.5, 9.3, 9.1, 9.0, 9.2, 7.8, 7.0, 7.5, 6.5, 7.8, 7.8, 7.8, 4.5, 7.9, 9.0, 9.0, 8.0, 9.0, 7.5, 7.5, 8.0, 7.0, 8.6, 8.4, 6.5]",303,7.748184818481848
123,Psyonix,"[7.3, 5.2, 4.8, 9.3, 8.0, 6.5]",6,6.8500000000000005
124,Big John Games,"[7.0, 7.5, 5.0, 5.5]",4,6.25
125,JoWooD Entertainment AG,"[6.0, 7.8, 8.0, 8.0, 7.0, 8.5, 3.5, 3.5, 4.9, 6.0, 7.2, 3.2, 6.0, 5.5, 5.5, 7.5, 5.5, 4.9, 7.0, 7.0, 7.0, 5.3, 7.6, 6.9, 7.1, 4.0, 5.1, 8.4, 4.8, 5.8, 4.5, 7.5, 6.8, 6.2, 7.7]",35,6.2057142857142855
126,Bitmasters Inc.,[4.0],1,4.0
127,Tradewest,"[5.0, 5.5, 5.6, 7.5, 5.5, 7.5, 5.0]",7,5.942857142857143
128,Arxel Tribe,[7.5],1,7.5
129,Bethesda Game Studios,"[8.0, 7.9, 6.8]",3,7.566666666666666
